ID,Category,Context_Chunk,Source_URL
1,Cancer - Definition,"Cancer is a group of related diseases that begins in cells, where extra cells keep dividing to form a mass of tissue called a tumor.",https://caro.doh.gov.ph/non-communicable-diseases/
2,Cancer - Lifestyle Prevention,"To help lessen the risk of developing cancer, individuals should watch their diet, limit drinking alcoholic beverages, and do regular physical activity.",https://caro.doh.gov.ph/non-communicable-diseases/
3,Stroke - Definition,"Cerebrovascular disease, also known as a stroke or ""brain attack,"" is an interruption of the blood supply to any part of the brain.",https://caro.doh.gov.ph/non-communicable-diseases/
4,Stroke - Lifestyle Prevention,"To prevent cerebrovascular disease, you should eat a healthy diet, maintain a healthy weight, engage in regular physical activity, and drink alcohol in moderation.",https://caro.doh.gov.ph/non-communicable-diseases/
5,Depression - Definition,Depression is characterized by either depressed mood or markedly diminished interest or pleasure in most activities of the day.,https://caro.doh.gov.ph/non-communicable-diseases/
6,Depression - Lifestyle Prevention,"Psychological interventions such as cognitive therapy, behavior therapy, interpersonal therapy, and family therapy may be administered to help manage depression.",https://caro.doh.gov.ph/non-communicable-diseases/
7,Diabetes - Definition,"Diabetes mellitus is a set of related diseases in which the body cannot regulate the amount of sugar, specifically glucose, in the blood.",https://caro.doh.gov.ph/non-communicable-diseases/
8,Diabetes - Lifestyle Prevention,"To prevent diabetes, individuals should maintain a healthy diet, exercise regularly, and drink alcohol in moderation.",https://caro.doh.gov.ph/non-communicable-diseases/
9,Obesity - Definition,Obesity and overweight are defined as abnormal or excessive fat accumulation that may impair health.,https://caro.doh.gov.ph/non-communicable-diseases/
10,Obesity - Lifestyle Prevention,"To prevent and treat obesity, individuals should limit high-calorie and sugar intake, eat more fruits, vegetables, legumes, whole grains, and nuts, and engage in regular physical activity.",https://caro.doh.gov.ph/non-communicable-diseases/
11,Hypertension - Definition,High blood pressure or hypertension is a common cardiovascular disease that serves as a major risk factor for developing a stroke.,https://caro.doh.gov.ph/non-communicable-diseases/
12,Hypertension - Lifestyle Prevention,"To prevent high blood pressure, you should eat a nutritious, low-salt, low-fat diet, exercise regularly, maintain a healthy weight, drink alcohol in moderation, quit smoking, and reduce stress.",https://caro.doh.gov.ph/non-communicable-diseases/
13,Heat Stroke - Definition,Heat stroke is the most severe form of heat illness that occurs when the body overheats and cannot cool down due to dehydration or a humid environment.,https://caro.doh.gov.ph/non-communicable-diseases/
14,Heat Stroke - Lifestyle Prevention,"Prevention during hot weather includes limiting time outdoors, drinking plenty of water, avoiding alcohol or caffeinated drinks, wearing wide-brimmed hats, and scheduling heavy activities for cooler parts of the day.",https://caro.doh.gov.ph/non-communicable-diseases/
